h3_cell,hotspot_name,center_lat,center_lon,PCRI,priority_score,confidence,enforcement_tier,violations,persistence_pct,chronicity_score,dominant_violation,root_cause,recommendation,peak_hour,insight
8961892ed4fffff,"Old Madras Road, Kolimi Heights, Muniswamappa Layout, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",12.980475923873708,77.62972853869468,43.35493775955457,41.96339382758569,52.16744561635295,Critical,134,14.5,71.12648428735723,NO PARKING,Road Capacity Reduction,Increase enforcement and towing,2,"Old Madras Road, Kolimi Heights, Muniswamappa Layout, Halasuru, Bengaluru, Karnataka. Pin-560008 (India) has a PCRI of 43.4 from 134 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 2:00."
8961892e2bbffff,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",13.008266951430317,77.69522833572458,42.7108393682424,72.65293237415453,86.26691383227924,Critical,3332,100.0,811.162807830774,WRONG PARKING,General Illegal Parking,Routine monitoring,19,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India) has a PCRI of 42.7 from 3332 violations. Primary issue: General Illegal Parking. Recommended enforcement around 19:00."
8961892086bffff,"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",12.951440219491683,77.71746003377889,42.70387524385904,46.38290905667295,63.612155214235244,Critical,395,29.6,177.04986065313264,PARKING IN A MAIN ROAD,Road Capacity Reduction,Increase enforcement and towing,3,"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India) has a PCRI of 42.7 from 395 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 3:00."
8961892e9bbffff,"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",12.980889347426457,77.61016753457861,42.29201343967873,71.79159941485129,88.8717024286745,Critical,4257,93.4,780.5022225653499,WRONG PARKING,Demand Overflow,Create dedicated parking capacity,5,"Dickenson Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India) has a PCRI of 42.3 from 4257 violations. Primary issue: Demand Overflow. Recommended enforcement around 5:00."
8961892e387ffff,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",13.000342920858488,77.67682583389077,41.71317562366163,61.04636547973037,79.93703579713078,Critical,1837,73.0,548.6996311128412,NO PARKING,General Illegal Parking,Routine monitoring,19,"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India) has a PCRI of 41.7 from 1837 violations. Primary issue: General Illegal Parking. Recommended enforcement around 19:00."
8961892e917ffff,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",12.98227253978252,77.61064010486254,41.113530279802205,73.33404007896831,90.31083216648247,Critical,4874,98.7,838.1481003447333,WRONG PARKING,General Illegal Parking,Routine monitoring,5,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India) has a PCRI of 41.1 from 4874 violations. Primary issue: General Illegal Parking. Recommended enforcement around 5:00."
89601458293ffff,"Dr Rajkumar Puniya Bhoomi Road, Narasimhaswamy Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",13.007130044052863,77.52672788458149,41.04425466546583,51.55960203696671,57.740922909323935,Critical,227,52.6,285.5835800830036,PARKING IN A MAIN ROAD,Demand Overflow,Create dedicated parking capacity,5,"Dr Rajkumar Puniya Bhoomi Road, Narasimhaswamy Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India) has a PCRI of 41.0 from 227 violations. Primary issue: Demand Overflow. Recommended enforcement around 5:00."
89601690193ffff,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",13.18531942189953,77.67995134811618,40.202232395091436,67.02651887552591,83.41491637085916,Critical,2548,93.4,732.5788281687293,NO PARKING,General Illegal Parking,Routine monitoring,23,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India) has a PCRI of 40.2 from 2548 violations. Primary issue: General Illegal Parking. Recommended enforcement around 23:00."
89618925d7bffff,"East End A Main Road, SRK Garden, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",12.927338608196722,77.59710771639344,39.36822898366683,36.35968459300537,43.89194658974038,Critical,61,8.6,35.493355711387785,NO PARKING,Road Capacity Reduction,Increase enforcement and towing,22,"East End A Main Road, SRK Garden, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India) has a PCRI of 39.4 from 61 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 22:00."
8961892e55bffff,"Outer Ring Road, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India)",12.979214918177103,77.69507131855171,39.32312157175012,51.2214893316504,65.87730982706917,Critical,489,55.3,342.55061812808833,NO PARKING,Road Capacity Reduction,Increase enforcement and towing,22,"Outer Ring Road, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India) has a PCRI of 39.3 from 489 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 22:00."
896189209abffff,"Doddakannelli Road, Sandeep Square, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.928902166459627,77.69482183291926,39.068128174828374,39.22634120714875,54.10642973617127,Critical,161,18.4,93.61177256827585,NO PARKING,Road Capacity Reduction,Increase enforcement and towing,23,"Doddakannelli Road, Sandeep Square, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India) has a PCRI of 39.1 from 161 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 23:00."
8960145b4cbffff,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.981301808412145,77.5985695022897,38.68831573294958,58.13683159550127,80.88840501616392,Critical,2009,71.7,545.3423130755089,WRONG PARKING,Demand Overflow,Create dedicated parking capacity,23,"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India) has a PCRI of 38.7 from 2009 violations. Primary issue: Demand Overflow. Recommended enforcement around 23:00."
8960169052fffff,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",13.183751247503888,77.67971735507777,38.609644107124765,62.85415365791748,76.14711466082302,Critical,1286,91.4,654.430325574286,NO PARKING,General Illegal Parking,Routine monitoring,7,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India) has a PCRI of 38.6 from 1286 violations. Primary issue: General Illegal Parking. Recommended enforcement around 7:00."
8961892092bffff,"Outer Ring Road, Rajiv Nagar, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.935897281673434,77.69152352240859,38.42064702177315,53.08173362889055,75.06967472222465,Critical,1162,60.5,427.0548682273792,NO PARKING,General Illegal Parking,Routine monitoring,22,"Outer Ring Road, Rajiv Nagar, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India) has a PCRI of 38.4 from 1162 violations. Primary issue: General Illegal Parking. Recommended enforcement around 22:00."
8960145b3a7ffff,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",12.999719557605783,77.54972175243967,38.3879782304278,67.84314421944468,88.96123964768577,Critical,4293,92.1,770.4141034142067,WRONG PARKING,General Illegal Parking,Routine monitoring,2,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India) has a PCRI of 38.4 from 4293 violations. Primary issue: General Illegal Parking. Recommended enforcement around 2:00."
89618920927ffff,"Outer Ring Road, Vajram Onyx, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",12.932440275371743,77.68820705718736,38.15663573959897,49.786661923270515,72.11633820745836,Critical,880,52.0,352.61499654868135,NO PARKING,General Illegal Parking,Routine monitoring,2,"Outer Ring Road, Vajram Onyx, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India) has a PCRI of 38.2 from 880 violations. Primary issue: General Illegal Parking. Recommended enforcement around 2:00."
8960145b6a7ffff,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9917599469581,77.58860252288487,37.330798310747795,51.06670930828506,78.71186567926196,Critical,1637,54.6,404.10722703695063,WRONG PARKING,Demand Overflow,Create dedicated parking capacity,22,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India) has a PCRI of 37.3 from 1637 violations. Primary issue: Demand Overflow. Recommended enforcement around 22:00."
896016964b7ffff,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",13.071374693934994,77.58803440623751,37.26436857489758,59.929353402611696,84.43270858053701,Critical,2804,77.6,616.0787242734474,WRONG PARKING,Demand Overflow,Create dedicated parking capacity,6,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India) has a PCRI of 37.3 from 2804 violations. Primary issue: Demand Overflow. Recommended enforcement around 6:00."
8961892ecbbffff,"Sir CV Raman Hospital Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",12.971125029195957,77.64738325170676,36.83545930890651,46.19598716014413,64.33872826176594,Critical,423,46.7,282.52255235933245,PARKING IN A MAIN ROAD,Road Capacity Reduction,Increase enforcement and towing,1,"Sir CV Raman Hospital Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India) has a PCRI of 36.8 from 423 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 1:00."
8960145b543ffff,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",12.978370187439946,77.57409091671242,36.677859869215794,65.7694066946429,84.8417962879103,Critical,2914,98.0,781.8072596808901,WRONG PARKING,General Illegal Parking,Routine monitoring,3,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India) has a PCRI of 36.7 from 2914 violations. Primary issue: General Illegal Parking. Recommended enforcement around 3:00."
8961892e6cbffff,"Kodigehalli Main Road, Aryav Greenfields, Kadugodi, KR Puram, Bengaluru, Karnataka. Pin-560067 (India)",13.003460990972222,77.72348083125,36.597377461768204,39.525626074053726,52.927409489065134,Critical,144,27.0,134.3718110453555,PARKING IN A MAIN ROAD,Road Capacity Reduction,Increase enforcement and towing,22,"Kodigehalli Main Road, Aryav Greenfields, Kadugodi, KR Puram, Bengaluru, Karnataka. Pin-560067 (India) has a PCRI of 36.6 from 144 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 22:00."
8961892e937ffff,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.983854847842013,77.60335562822718,36.53539022965648,64.33034948496388,85.42735531601402,Critical,3079,92.8,745.4331564897951,WRONG PARKING,General Illegal Parking,Routine monitoring,4,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India) has a PCRI of 36.5 from 3079 violations. Primary issue: General Illegal Parking. Recommended enforcement around 4:00."
89618925d07ffff,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",12.91691839826087,77.59531458695652,36.434242458511555,34.31141554420043,50.55428471958388,Critical,115,10.5,49.912697006616824,NO PARKING,Road Capacity Reduction,Increase enforcement and towing,7,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India) has a PCRI of 36.4 from 115 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 7:00."
8960145b55bffff,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.979358794984185,77.57641772806146,36.15707666581203,63.73104665716915,81.91644613102878,Critical,2213,96.7,744.8371761530719,WRONG PARKING,General Illegal Parking,Routine monitoring,19,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India) has a PCRI of 36.2 from 2213 violations. Primary issue: General Illegal Parking. Recommended enforcement around 19:00."
8960145940fffff,"MS Ramaiah Road, Mattikere Layout, Mathikere Extension, Bengaluru, Karnataka. Pin-560054 (India)",13.033080171830985,77.55840507957747,36.12272154897116,33.672712339468944,52.779699210634675,High,142,9.2,45.65817059839114,NO PARKING,Road Capacity Reduction,Increase enforcement and towing,4,"MS Ramaiah Road, Mattikere Layout, Mathikere Extension, Bengaluru, Karnataka. Pin-560054 (India) has a PCRI of 36.1 from 142 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 4:00."
8961892e287ffff,"Devasandra Main Road, Nanjamma Layout, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",13.007771386524823,77.69696726595745,35.888861527386,35.24794508562172,52.70506754236649,Critical,141,15.1,74.83298856977903,PARKING IN A MAIN ROAD,Road Capacity Reduction,Increase enforcement and towing,18,"Devasandra Main Road, Nanjamma Layout, KR Puram, Bengaluru, Karnataka. Pin-560036 (India) has a PCRI of 35.9 from 141 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 18:00."
89618925453ffff,"Outer Ring Road, Saffron Square, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",12.93052533530535,77.68537646862933,35.54498503936062,52.99304415037634,74.83857112420233,Critical,1137,69.1,486.25860817482163,NO PARKING,General Illegal Parking,Routine monitoring,2,"Outer Ring Road, Saffron Square, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India) has a PCRI of 35.5 from 1137 violations. Primary issue: General Illegal Parking. Recommended enforcement around 2:00."
8961892ed1bffff,"Nandanavana G Street, Doddaiah Layout, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",12.97180688852459,77.63050350819672,35.318028993150904,31.182890607289355,43.89194658974038,High,61,3.9,16.095824101675856,PARKING IN A MAIN ROAD,Road Capacity Reduction,Increase enforcement and towing,6,"Nandanavana G Street, Doddaiah Layout, Halasuru, Bengaluru, Karnataka. Pin-560008 (India) has a PCRI of 35.3 from 61 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 6:00."
89618920b0fffff,"Marathahalli Underpass, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.957514652224353,77.70123144518115,35.20392251173695,57.566919061055586,76.40830891788725,Critical,1318,84.2,604.9457746587979,NO PARKING,General Illegal Parking,Routine monitoring,5,"Marathahalli Underpass, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India) has a PCRI of 35.2 from 1318 violations. Primary issue: General Illegal Parking. Recommended enforcement around 5:00."
8960145b58bffff,"AS Char Main Road, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",12.96706513769814,77.57431669207443,35.187142306530745,58.379619048865905,77.4299895815988,Critical,1451,86.2,627.5960982421648,WRONG PARKING,General Illegal Parking,Routine monitoring,2,"AS Char Main Road, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India) has a PCRI of 35.2 from 1451 violations. Primary issue: General Illegal Parking. Recommended enforcement around 2:00."
8960145b547ffff,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",12.977346989777779,77.57077877622223,35.18494098105196,53.195068785457565,76.66324173184795,Critical,1350,69.7,502.4394435558259,NO PARKING,General Illegal Parking,Routine monitoring,2,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India) has a PCRI of 35.2 from 1350 violations. Primary issue: General Illegal Parking. Recommended enforcement around 2:00."
89601690c2bffff,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",13.191143509939394,77.64610011503031,35.07112650966669,49.818815093036946,71.43077776496759,Critical,825,61.8,415.0855570035964,NO PARKING,General Illegal Parking,Routine monitoring,20,"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India) has a PCRI of 35.1 from 825 violations. Primary issue: General Illegal Parking. Recommended enforcement around 20:00."
896189218a3ffff,"Mims Gulmohar Road, Gulmohar, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",12.985459871698112,77.74565409339623,34.70423843470603,30.902175908911765,49.6953901885024,High,106,4.6,21.495012638524766,PARKING IN A MAIN ROAD,Road Capacity Reduction,Increase enforcement and towing,5,"Mims Gulmohar Road, Gulmohar, Whitefield, Bengaluru, Karnataka. Pin-560066 (India) has a PCRI of 34.7 from 106 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 5:00."
8961892e0cfffff,"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",12.995198194666441,77.69697424073881,34.6284488780089,41.29832666414114,68.49926733019245,Critical,626,36.2,233.16226477091175,NO PARKING,Road Capacity Reduction,Increase enforcement and towing,5,"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India) has a PCRI of 34.6 from 626 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 5:00."
8961892eeb3ffff,"Railway Line Road, NGEF Layout, Benaiganahalli, Bengaluru, Karnataka. Pin-560038 (India)",12.991776532903225,77.65229556580645,34.492621012612574,30.574743303219687,53.70506251486032,High,155,3.9,19.694438428273195,NO PARKING,Road Capacity Reduction,Increase enforcement and towing,1,"Railway Line Road, NGEF Layout, Benaiganahalli, Bengaluru, Karnataka. Pin-560038 (India) has a PCRI of 34.5 from 155 violations. Primary issue: Road Capacity Reduction. Recommended enforcement around 1:00."
8960145b5c7ffff,"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",12.969690575385021,77.57552472506657,34.47755760053263,62.08145610775825,82.75216748915192,Critical,2394,95.4,742.3206138392145,WRONG PARKING,General Illegal Parking,Routine monitoring,2,"AS Char Main Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India) has a PCRI of 34.5 from 2394 violations. Primary issue: General Illegal Parking. Recommended enforcement around 2:00."
8960145b30fffff,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",13.01118828873457,77.55450148680556,34.244197440542784,60.40018653421676,83.59692728541164,Critical,2592,89.5,703.5210853057105,WRONG PARKING,General Illegal Parking,Routine monitoring,4,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India) has a PCRI of 34.2 from 2592 violations. Primary issue: General Illegal Parking. Recommended enforcement around 4:00."
8960145b377ffff,"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",13.01211285543227,77.55265923509015,34.093641409672614,61.55625806809544,81.6735171336617,Critical,2163,96.1,738.0204808007683,WRONG PARKING,General Illegal Parking,Routine monitoring,4,"Da Ra Bendre Road, Kirloskar Foundry, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India) has a PCRI of 34.1 from 2163 violations. Primary issue: General Illegal Parking. Recommended enforcement around 4:00."
8960145b2a7ffff,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",13.007392507566053,77.57106422201761,34.00191506267129,60.810522585172556,83.20423259721298,Critical,2498,92.1,720.5577902298991,WRONG PARKING,General Illegal Parking,Routine monitoring,2,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India) has a PCRI of 34.0 from 2498 violations. Primary issue: General Illegal Parking. Recommended enforcement around 2:00."
8960145b16bffff,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",12.997517550868926,77.54900010240515,33.85059071807328,58.26675491381901,80.24498671252215,Critical,1891,87.5,660.2216030910346,WRONG PARKING,General Illegal Parking,Routine monitoring,3,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India) has a PCRI of 33.9 from 1891 violations. Primary issue: General Illegal Parking. Recommended enforcement around 3:00."
89618924b63ffff,"Subramanyapura Main Road, Komarla Brigade Residency, Chikkalsandra, Bengaluru, Karnataka. Pin-560061 (India)",12.911145302575692,77.55172702381319,33.84474918273928,35.64977650778783,46.19623636755979,Critical,76,23.0,99.90752470263473,PARKING IN A MAIN ROAD,Heavy Vehicle Obstruction,Restrict heavy vehicle parking,6,"Subramanyapura Main Road, Komarla Brigade Residency, Chikkalsandra, Bengaluru, Karnataka. Pin-560061 (India) has a PCRI of 33.8 from 76 violations. Primary issue: Heavy Vehicle Obstruction. Recommended enforcement around 6:00."
